id,problem,problem_name,edge,class,solution,G1 reach,G2 semester,G3 additive,G4 no law change,gates,User,Feasibility,Implementability,Usability,Market,Impact,Measurability,Time,Novelty,Cure,Transfer,round 1 score (max 65),weighted score (max 90)
P3-34,P3,School gate and idling,A26->D26,cut the source,Automatic idle shut-off timers on school buses,"pass, to verify",pass,pass,pass,through,3,4,3,5,3,4,3,4,2,4,5,47,64
P3-35,P3,School gate and idling,A26->P32,cut the source,Electric school buses on the routes serving the school,fail,pass,"pass, to verify",pass,out,,,,,,,,,,,,,
P3-36,P3,School gate and idling,A26->D26,cut the source,Shore power at the depot and the staging area so bus AC runs without the engine,fail,pass,pass,pass,out,,,,,,,,,,,,,
P3-37,P3,School gate and idling,D26->P05,cut the path,"Bus staging area away from the gate, engines off until loading",pass,pass,pass,pass,through,3,5,4,4,3,4,3,5,2,4,3,51,66
P3-38,P3,School gate and idling,D26->P05,cut the path,Bus arrival slots so buses load on arrival instead of waiting,pass,pass,pass,pass,through,3,4,3,4,3,3,3,5,3,4,5,44,63
P3-39,P3,School gate and idling,A26->P32,cut the source,Diesel oxidation catalyst or DPF retrofit on older buses,fail,pass,"pass, to verify",pass,out,,,,,,,,,,,,,
P3-40,P3,School gate and idling,D26->P32,change the decision,Telematics idle report per bus with a league table for the operator,"pass, to verify",pass,pass,pass,through,3,4,3,4,3,3,3,4,3,4,5,43,62
P3-41,P3,School gate and idling,D26->P32,change the decision,Driver bonus for the lowest idle hours,"pass, to verify",pass,pass,pass,through,3,4,3,4,4,3,3,4,2,4,5,44,61
P3-42,P3,School gate and idling,A26->P32,cut the source,CNG buses on school contracts,fail,fail,"pass, to verify",pass,out,,,,,,,,,,,,,
P3-43,P3,School gate and idling,A27->X10,cut receptor time or intake,Demand-controlled ventilation with CO2 and PM sensors (Arar 2021: ventilation beat purifiers in UAE nurseries),"pass, to verify",pass,pass,pass,through,4,3,2,5,3,2,5,3,2,1,3,41,50
P3-44,P3,School gate and idling,A27->X10,cut receptor time or intake,"Outdoor-air intake reduced during the drop-off peak, restored after",pass,pass,pass,pass,through,3,4,3,5,3,2,5,4,3,1,4,45,57
P3-45,P3,School gate and idling,A27->X10,cut the path,Air intake relocated away from the gate and the road,fail,pass,pass,pass,out,,,,,,,,,,,,,
P3-46,P3,School gate and idling,A27->X10,cut receptor time or intake,Energy recovery ventilator with filtration for the gate-side wing,fail,pass,pass,pass,out,,,,,,,,,,,,,
P3-47,P3,School gate and idling,D04->D14,change the decision,School bus fee discount funded by a car drop-off fee,"pass, to verify",pass,"pass, to verify",pass,through,3,4,3,4,4,4,4,4,3,4,4,49,67
P3-48,P3,School gate and idling,D04->D14,change the decision,Carpool matching for families on the same streets,pass,pass,pass,pass,through,3,5,4,3,3,3,4,5,1,3,5,49,62
P3-49,P3,School gate and idling,D15->D14,change the decision,Enrolment preference for families within walking distance,fail,fail,"pass, to verify",pass,out,,,,,,,,,,,,,
P3-50,P3,School gate and idling,D04->D14,cut the path,Bike and e-scooter parking with a safe entry lane,pass,pass,pass,pass,through,3,5,4,4,3,2,4,5,1,3,5,47,60
P3-51,P3,School gate and idling,D15->D14,change the decision,Public bus route stop at the school gate at the school's hours,fail,pass,"pass, to verify",pass,out,,,,,,,,,,,,,
P3-52,P3,School gate and idling,D14->P05,cut the path,Staff load and unload children so the queue rolls (Kumar 2020: drop-off PM2.5 nearly 3x off-peak from queuing),pass,pass,pass,pass,through,4,5,4,4,3,4,3,5,2,4,5,52,69
P3-53,P3,School gate and idling,D14->P05,change the decision,"No-parking, roll-through rule with cones and a marshal",pass,pass,pass,pass,through,3,5,4,4,3,3,3,5,2,4,5,48,65
P3-54,P3,School gate and idling,D14->P05,change the decision,Parent briefing on engine-off in the queue at the term's first assembly,pass,pass,pass,pass,through,4,5,4,4,3,3,4,5,1,3,5,51,64
P3-55,P3,School gate and idling,D14->P05,change the decision,Signage that states the fuel and dirhams saved by switching off,pass,pass,pass,pass,through,3,5,4,4,3,2,4,5,2,3,5,47,62
P3-56,P3,School gate and idling,P05->S20,cut the path,Physical distance: the queue lane moved 30 m from the pedestrian gate,"pass, to verify",pass,pass,pass,through,3,4,3,4,3,4,3,4,2,3,3,46,59
P3-57,P3,School gate and idling,P05->S20,cut the path,"Enclosed, ventilated gate vestibule where children wait",fail,pass,pass,pass,out,,,,,,,,,,,,,
P3-58,P3,School gate and idling,P05->S20,cut the path,Green wall at the gate as a partial screen (Kumar 2024: hedges about 23 %),pass,fail,pass,pass,out,,,,,,,,,,,,,
P3-59,P3,School gate and idling,S13->S20,change the decision,Stable-morning alert: on inversion days the queue is shortened by a later staggered slot,pass,pass,pass,pass,through,3,4,3,3,3,2,4,5,4,3,5,42,61
P3-60,P3,School gate and idling,S13->S20,cut receptor time or intake,Dust and inversion day protocol: children wait indoors at pick-up,pass,pass,pass,pass,through,4,5,4,4,3,2,4,5,2,1,5,48,59
P3-61,P3,School gate and idling,S20->S21,cut receptor time or intake,Windows closed during drop-off and pick-up in gate-side rooms,pass,pass,pass,pass,through,3,5,4,4,3,2,5,5,1,1,5,49,58
P3-62,P3,School gate and idling,S20->X10,cut receptor time or intake,"Gate-side doors kept shut during the peak, entry through the far door",pass,pass,pass,pass,through,3,5,4,4,3,2,4,5,1,1,5,47,56
P3-63,P3,School gate and idling,S20->X10,cut the path,Air curtain at the main entrance,"pass, to verify",pass,pass,pass,through,3,4,3,5,3,2,4,4,2,1,3,43,52
P3-64,P3,School gate and idling,S26->X10,cut the source,"No chalk, wet cleaning and HEPA vacuums after hours (Arar 2021: TSP moved with children's activity)",pass,pass,pass,pass,through,3,5,4,4,3,3,4,5,1,3,4,50,62
P3-65,P3,School gate and idling,S26->X10,cut the source,Entrance mats and a shoe-off rule in the youngest classes,pass,pass,pass,pass,through,3,5,4,3,3,2,4,5,1,3,5,46,59
P3-66,P3,School gate and idling,S26->X10,cut the source,No incense or air fresheners in classrooms,pass,pass,pass,pass,through,3,5,4,4,3,2,4,5,1,4,5,47,62
P3-67,P3,School gate and idling,S07->E14,change the decision,Black-carbon co-benefit reported in the school's sustainability report,pass,pass,pass,pass,through,2,5,4,5,2,1,3,5,2,1,5,41,52
P3-68,P3,School gate and idling,S08->X10,cut receptor time or intake,Youngest pupils kept away from the tail of the queue at pick-up,pass,pass,pass,pass,through,3,5,4,4,3,2,4,5,2,2,5,47,60
P3-69,P3,School gate and idling,P05->S20,change the decision,Real-time PM display at the gate visible to every parent in the queue,pass,pass,pass,pass,through,4,5,4,4,3,3,3,5,3,3,4,49,65
P3-70,P3,School gate and idling,P05->S20,change the decision,Weekly gate air-quality report to parents,pass,pass,pass,pass,through,3,5,4,4,3,2,3,5,2,2,5,45,58
P3-71,P3,School gate and idling,A05->S20,change the decision,"ADEK guideline for school-gate air, drafted from the pilot's data",fail,fail,pass,pass,out,,,,,,,,,,,,,
P3-72,P3,School gate and idling,A05->S20,change the decision,Air quality as a criterion in the school inspection framework,fail,fail,pass,fail,out,,,,,,,,,,,,,
P3-73,P3,School gate and idling,P05->S20,change the decision,Student measurement project with low-cost sensors feeding the gate display,pass,pass,pass,pass,through,4,5,4,4,2,3,3,5,3,2,4,48,62
P3-74,P3,School gate and idling,A05->P05,change the decision,Class competition on engine-off rates counted by the marshals,pass,pass,pass,pass,through,4,5,4,4,2,3,3,5,3,4,5,48,67
P3-75,P3,School gate and idling,D14->P05,change the decision,Peak-hour parking enforcement on the gate road by the municipality,fail,pass,"pass, to verify",pass,out,,,,,,,,,,,,,
P3-76,P3,School gate and idling,D04->D14,change the decision,Fee rebate for families who use the bus all year,"pass, to verify",pass,"pass, to verify",pass,through,3,4,3,4,4,3,4,4,2,4,4,46,62
P3-77,P3,School gate and idling,D04->D14,change the decision,"Clean-commute badge for families who walk, bus or carpool",pass,pass,pass,pass,through,3,5,4,4,2,2,4,5,2,3,5,46,61
P3-78,P3,School gate and idling,S20->S21,cut receptor time or intake,Corridor doors kept shut on the gate side to keep the peak out of the wing,pass,pass,pass,pass,through,3,5,4,4,3,2,4,5,1,1,5,47,56
P3-79,P3,School gate and idling,A26->D26,cut the source,Bus AC pre-cooled on shore power before departure so the wait at the gate is engine-off,fail,pass,pass,pass,out,,,,,,,,,,,,,
P3-80,P3,School gate and idling,A07->S20,cut the path,Queue lane on the downwind side of the gate on the prevailing wind,"pass, to verify",pass,pass,pass,through,3,4,3,4,3,3,4,4,3,3,3,45,60
P3-81,P3,School gate and idling,D26->P05,change the decision,"Gate orchestration system: buses get arrival slots and an engine-off staging bay, cars get the just-in-time call, one dashboard at the door (rescored 04:10 after the pre-mortem: engine-off is not available in the heat, the wait relocates, the gate effect is under sensor noise)","pass, to verify",pass,pass,pass,through,5,2,3,4,4,3,2,4,3,4,3,40,57
P4-01,P4,Child commute and daily dose,A04->A20,change the decision,Bus-first policy: bus fee cut and a car drop-off fee,"pass, to verify",pass,"pass, to verify",pass,through,3,4,3,4,4,4,4,4,2,4,4,49,65
P4-02,P4,Child commute and daily dose,A04->A20,change the decision,Electric buses required in the next school transport tender,fail,fail,"pass, to verify",pass,out,,,,,,,,,,,,,
P4-03,P4,Child commute and daily dose,A04->X08,cut the path,Route optimisation to cut time on board for the youngest pupils,"pass, to verify",pass,pass,pass,through,4,4,3,4,4,3,5,4,3,3,5,49,66
P4-04,P4,Child commute and daily dose,A04->X08,cut the path,Bus stops sited off the arterial and away from queues,"pass, to verify",pass,pass,pass,through,3,4,3,4,3,2,4,4,2,3,4,42,56
P4-05,P4,Child commute and daily dose,A04->X08,cut receptor time or intake,Windows-closed and recirculation policy on buses in traffic (Matthaios 2020: lowest I/O with recirculation),pass,pass,pass,pass,through,3,5,4,4,3,3,5,5,1,2,5,52,63
P4-06,P4,Child commute and daily dose,A04->X08,cut receptor time or intake,HEPA-grade cabin filters on the school buses,"pass, to verify",pass,pass,pass,through,4,4,3,5,3,4,5,4,2,1,3,52,61
P4-07,P4,Child commute and daily dose,A04->X08,change the decision,Cabin PM monitor on each bus with driver feedback,pass,pass,pass,pass,through,3,4,3,4,3,3,5,5,4,3,4,48,66
P4-08,P4,Child commute and daily dose,A13->X03,change the decision,Dust-day alert to schools with an indoor-recess protocol (MOCCAE 2022 lists the missing public warning system as a gap),pass,pass,pass,pass,through,4,5,4,4,3,3,4,5,3,2,5,51,66
P4-09,P4,Child commute and daily dose,A13->X03,change the decision,NCM dust forecast pushed into the school app,"pass, to verify",pass,pass,pass,through,4,4,3,4,3,3,4,4,3,2,5,46,61
P4-10,P4,Child commute and daily dose,A13->X11,change the decision,Asthma-register pupils get a personal alert on dust and peak days,pass,pass,pass,pass,through,5,4,3,4,3,3,4,5,4,2,5,48,65
P4-11,P4,Child commute and daily dose,A13->X03,change the decision,Outdoor PE timetable set by the forecast,pass,pass,pass,pass,through,4,5,4,4,3,3,4,5,3,2,5,51,66
P4-12,P4,Child commute and daily dose,A14->X03,change the decision,School-level air-quality display in the lobby,pass,pass,pass,pass,through,3,5,4,4,3,2,5,5,2,2,4,49,61
P4-13,P4,Child commute and daily dose,A14->X03,change the decision,Parent app showing commute air quality by route,"pass, to verify",pass,pass,pass,through,3,4,3,4,3,2,4,4,4,2,4,42,58
P4-14,P4,Child commute and daily dose,A14->X03,change the decision,"Route advice: walking routes on quieter streets, away from the queue",pass,pass,pass,pass,through,3,5,4,3,2,2,4,5,2,2,5,45,58
P4-15,P4,Child commute and daily dose,A17->X11,cut receptor time or intake,School nurse asthma action plans for every registered pupil,pass,pass,pass,pass,through,5,5,4,4,2,2,4,5,1,1,5,48,57
P4-16,P4,Child commute and daily dose,A17->X11,cut receptor time or intake,Inhaler-at-school programme,pass,pass,pass,pass,through,5,5,4,4,2,2,3,5,1,1,5,46,55
P4-17,P4,Child commute and daily dose,A17->X11,cut receptor time or intake,Spirometry screening for the highest-exposure pupils,pass,pass,pass,pass,through,4,4,3,3,2,2,5,4,1,1,5,43,52
P4-18,P4,Child commute and daily dose,A20->E05,cut the source,DPF or DOC retrofit on the oldest buses (Adar 2015: on-board particles 10 to 50 % lower with cleaner tech),fail,pass,"pass, to verify",pass,out,,,,,,,,,,,,,
P4-19,P4,Child commute and daily dose,A20->S22,cut the source,"Closed crankcase ventilation retrofit, the cheapest cabin fix","pass, to verify",pass,"pass, to verify",pass,through,3,4,3,5,3,4,5,4,2,4,4,51,67
P4-20,P4,Child commute and daily dose,A20->S22,cut the source,Bus age cap in the school's transport contract,fail,fail,"pass, to verify",pass,out,,,,,,,,,,,,,
P4-21,P4,Child commute and daily dose,A20->X19,cut the source,Electric buses on the longest routes first,fail,pass,"pass, to verify",pass,out,,,,,,,,,,,,,
P4-22,P4,Child commute and daily dose,A20->X19,cut receptor time or intake,Positive-pressure filtered cabin on the buses,fail,pass,pass,pass,out,,,,,,,,,,,,,
P4-23,P4,Child commute and daily dose,A20->X19,cut receptor time or intake,"Seating plan: youngest at the front, away from the engine and exhaust",pass,pass,pass,pass,through,3,5,4,4,3,2,4,5,3,2,5,47,62
P4-24,P4,Child commute and daily dose,A20->S22,cut the source,Exhaust-leak inspection of every bus at the start of term,pass,pass,pass,pass,through,4,5,4,5,3,3,5,5,2,4,5,54,71
P4-25,P4,Child commute and daily dose,A20->S22,cut the source,Idle timers on buses so cabin fumes do not build while waiting,"pass, to verify",pass,pass,pass,through,3,4,3,5,3,3,5,4,2,4,5,48,65
P4-26,P4,Child commute and daily dose,P30->X09,cut the source,"Bakhoor and oud burning guidance: outdoors or with the window open, never in the child's room (Cohen 2013)",pass,pass,pass,pass,through,3,5,4,3,3,3,4,5,2,4,5,49,66
P4-27,P4,Child commute and daily dose,P30->X09,cut the source,Electric bakhoor burners that produce less smoke,pass,pass,pass,pass,through,3,5,4,4,4,2,4,5,2,4,4,48,64
P4-28,P4,Child commute and daily dose,P30->X09,cut the source,Kitchen extraction hood used every time the stove is on,pass,pass,pass,pass,through,3,5,4,3,3,2,4,5,1,3,4,46,58
P4-29,P4,Child commute and daily dose,P30->E06,cut the source,No shisha or smoking indoors where children sleep,pass,pass,pass,pass,through,4,5,4,3,2,3,4,5,1,4,5,49,64
P4-30,P4,Child commute and daily dose,P30->X09,cut receptor time or intake,Air purifier in the child's bedroom,pass,pass,pass,pass,through,4,5,4,5,4,3,5,5,1,1,2,55,61
P4-31,P4,Child commute and daily dose,P30->X13,cut the source,"Incense only after the children are out of the room, with ventilation after",pass,pass,pass,pass,through,3,5,4,3,3,2,4,5,2,3,5,46,61
P4-32,P4,Child commute and daily dose,P30->X09,change the decision,Home air-quality information pack sent through the school,pass,pass,pass,pass,through,3,5,4,4,3,2,3,5,1,2,5,45,56
P4-33,P4,Child commute and daily dose,S22->X08,cut receptor time or intake,"Car: recirculation and closed windows in traffic, a one-line parent instruction",pass,pass,pass,pass,through,4,5,4,4,3,3,5,5,1,2,5,53,64
P4-34,P4,Child commute and daily dose,S22->X08,cut receptor time or intake,HEPA cabin filter in the family car,pass,pass,pass,pass,through,4,5,4,5,4,3,5,5,1,1,3,55,62
P4-35,P4,Child commute and daily dose,S22->X08,cut receptor time or intake,Driver training: do not follow diesel vehicles closely in the queue,pass,pass,pass,pass,through,3,5,4,3,3,2,4,5,2,2,5,46,59
P4-36,P4,Child commute and daily dose,S22->X08,cut the path,Route choice via quieter roads for the school run,pass,pass,pass,pass,through,3,5,4,3,3,2,4,5,2,2,5,46,59
P4-37,P4,Child commute and daily dose,S22->X06,cut receptor time or intake,Commute shortened by staggered school timings that avoid the road peak,"pass, to verify",pass,pass,pass,through,4,4,3,4,3,3,4,4,3,3,5,46,63
P4-38,P4,Child commute and daily dose,X03->X05,cut receptor time or intake,No strenuous sport at road-peak hours or on dust days,pass,pass,pass,pass,through,4,5,4,4,3,3,4,5,2,2,5,51,64
P4-39,P4,Child commute and daily dose,X03->X05,cut receptor time or intake,Indoor sports hall use on dust days,pass,pass,pass,pass,through,4,5,4,4,3,2,4,5,1,2,4,48,58
P4-40,P4,Child commute and daily dose,X03->X08,cut receptor time or intake,"Shaded, cooled waiting pods at bus stops",fail,pass,pass,pass,out,,,,,,,,,,,,,
P4-41,P4,Child commute and daily dose,X03->X08,cut receptor time or intake,Bus tracking app so children wait indoors until the bus is two minutes away,pass,pass,pass,pass,through,5,4,3,4,4,3,4,4,3,3,5,48,65
P4-42,P4,Child commute and daily dose,X04->X06,cut receptor time or intake,Just-in-time pick-up app to cut gate waiting time (rescored 04:10 with P3-21),pass,pass,pass,pass,through,5,4,3,4,4,2,3,4,2,3,3,43,56
P4-43,P4,Child commute and daily dose,X04->X06,cut receptor time or intake,Gate waiting moved indoors,pass,pass,pass,pass,through,4,5,4,4,3,3,5,5,2,2,4,53,65
P4-44,P4,Child commute and daily dose,X04->X13,cut receptor time or intake,"Bus staging inside the campus, away from the road","pass, to verify",pass,pass,pass,through,3,4,3,4,3,3,5,4,2,3,4,47,61
P4-45,P4,Child commute and daily dose,X04->X13,cut the path,Walking routes that avoid the car queue,pass,pass,pass,pass,through,3,5,4,3,2,2,4,5,2,2,5,45,58
P4-46,P4,Child commute and daily dose,X05->X06,cut receptor time or intake,PE moved to midday indoors rather than morning outdoors beside the road,pass,pass,pass,pass,through,3,5,4,4,3,2,4,5,2,2,4,47,59
P4-47,P4,Child commute and daily dose,X05->X06,cut receptor time or intake,Running events held at the field furthest from the road,pass,pass,pass,pass,through,3,5,4,4,3,2,3,5,2,2,5,45,58
P4-48,P4,Child commute and daily dose,X06->E05,cut receptor time or intake,"Lung-function cohort at the school, measured each term",pass,pass,pass,pass,through,4,4,3,3,2,2,5,4,2,1,5,43,54
P4-49,P4,Child commute and daily dose,X06->E06,cut receptor time or intake,School health screening with an air-exposure questionnaire,pass,pass,pass,pass,through,3,5,4,4,2,2,4,5,1,1,5,46,55
P4-50,P4,Child commute and daily dose,X08->X13,cut receptor time or intake,Peak-avoidance: walkers routed away from the queue tail,pass,pass,pass,pass,through,3,5,4,3,2,2,4,5,2,2,5,45,58
P4-51,P4,Child commute and daily dose,X13->X06,change the decision,Personal monitors worn for a week to find each pupil's peaks,pass,pass,pass,pass,through,4,4,3,3,2,3,5,5,3,2,4,47,61
P4-52,P4,Child commute and daily dose,X13->X06,cut receptor time or intake,Commute shifted by 20 minutes off the road peak,pass,pass,pass,pass,through,3,5,4,3,3,3,4,5,3,3,5,49,66
P4-53,P4,Child commute and daily dose,X09->X06,cut receptor time or intake,Home ventilation guidance by week type (Yuan 2020: sealed homes in dust weeks),pass,pass,pass,pass,through,3,5,4,3,3,3,4,5,3,2,5,49,64
P4-54,P4,Child commute and daily dose,X09->X06,cut receptor time or intake,Window-sealing kits for road-facing bedrooms,pass,pass,pass,pass,through,3,5,4,4,3,2,4,5,2,1,4,47,57
P4-55,P4,Child commute and daily dose,X09->X06,cut receptor time or intake,MERV13 filter on the home AC,pass,pass,pass,pass,through,4,5,4,5,4,3,5,5,1,1,3,55,62
P4-56,P4,Child commute and daily dose,X09->X06,change the decision,Purifier subsidy for asthmatic pupils' homes,"pass, to verify",pass,pass,pass,through,5,4,3,5,3,3,5,4,1,1,2,50,56
P4-57,P4,Child commute and daily dose,X19->X06,change the decision,Cabin air-quality clause in the school bus contract,"pass, to verify",pass,pass,pass,through,3,4,3,4,3,4,5,4,3,4,5,50,69
P4-58,P4,Child commute and daily dose,X19->X06,change the decision,Driver engine-off training and a no-idling rule while loading,pass,pass,pass,pass,through,3,5,4,4,3,3,5,5,2,4,5,52,69
P4-59,P4,Child commute and daily dose,X19->X06,cut the path,Loading order: the pupils with the longest ride board last,pass,pass,pass,pass,through,3,5,4,3,3,2,4,5,3,3,5,46,63
P4-60,P4,Child commute and daily dose,X19->E06,cut the path,Direct routes for the youngest pupils,"pass, to verify",pass,pass,pass,through,4,4,3,4,3,3,4,4,2,3,5,46,61
P4-61,P4,Child commute and daily dose,X19->X06,change the decision,Regulator bus air-quality standard,fail,fail,pass,fail,out,,,,,,,,,,,,,
P4-62,P4,Child commute and daily dose,S22->X19,change the decision,"Parent campaign on car cabin settings, one page",pass,pass,pass,pass,through,3,5,4,4,3,2,3,5,1,2,5,45,56
P4-63,P4,Child commute and daily dose,X08->X13,change the decision,School clean-commute scorecard published each term,pass,pass,pass,pass,through,3,5,4,4,2,2,4,5,3,2,5,46,61
P4-64,P4,Child commute and daily dose,S22->X08,change the decision,School bulk-buys HEPA cabin filters for families at cost,pass,pass,pass,pass,through,4,5,4,5,4,3,5,5,2,1,3,55,64
P4-65,P4,Child commute and daily dose,X04->X06,change the decision,Student sensor project mapping commute exposure by mode,pass,pass,pass,pass,through,4,5,4,4,2,3,5,5,3,2,4,52,66
P4-66,P4,Child commute and daily dose,A04->X08,change the decision,"Bus routes redesigned on exposure, not distance alone","pass, to verify",pass,pass,pass,through,3,3,2,4,3,3,4,3,4,3,5,40,59
P4-67,P4,Child commute and daily dose,A20->X19,change the decision,Bus age legislation,fail,fail,"pass, to verify",fail,out,,,,,,,,,,,,,
P4-68,P4,Child commute and daily dose,A04->A20,change the decision,Walking and cycling infrastructure around the school,fail,fail,pass,pass,out,,,,,,,,,,,,,
P4-69,P4,Child commute and daily dose,X03->X06,cut receptor time or intake,Time-outdoors budget on dust days in the school timetable,pass,pass,pass,pass,through,3,5,4,4,3,2,4,5,2,2,5,47,60
P4-70,P4,Child commute and daily dose,X13->X06,cut receptor time or intake,Bus stop waiting indoors when the stop is on an arterial,pass,pass,pass,pass,through,4,5,4,4,3,2,4,5,2,2,4,48,60
P4-71,P4,Child commute and daily dose,S22->X19,cut the source,"Clean Cabin: per-bus cabin air diagnosis (cabin vs roof sensor ratio while idling and moving), fix kit (exhaust-leak sealing, closed-crankcase retrofit, tailpipe routed up and off-side away from the door and the intake), climate-aware idle timer, and a published cabin air rating per bus (added 04:10 after the pre-mortem, replaces gate orchestration as the pick)","pass, to verify",pass,pass,pass,through,5,4,3,5,4,5,5,5,4,4,5,58,79
P5-01,P5,Near-road residents and delivery riders,A16->S18,cut the path,Dense roadside hedge 1.5 to 2 m between the road and the homes (Kumar 2024: hedges about 23 %),pass,fail,pass,pass,out,,,,,,,,,,,,,
P5-02,P5,Near-road residents and delivery riders,A16->S18,cut the path,"Street trees where the street is open, not in canyons where they trap",fail,fail,pass,pass,out,,,,,,,,,,,,,
P5-03,P5,Near-road residents and delivery riders,A16->X18,cut the path,Green wall on the road-facing façade of labour housing,pass,fail,pass,pass,out,,,,,,,,,,,,,
P5-04,P5,Near-road residents and delivery riders,A16->X18,cut the path,Vegetation barrier at the boundary of a road-facing compound,pass,fail,pass,pass,out,,,,,,,,,,,,,
P5-05,P5,Near-road residents and delivery riders,A22->X15,cut receptor time or intake,Surgical or FFP2 masks supplied by the platform (Patel 2016: only surgical masks cut PM for motorcycle commuters),pass,pass,pass,pass,through,3,5,4,2,3,4,4,5,1,1,2,51,57
P5-06,P5,Near-road residents and delivery riders,A22->X15,cut receptor time or intake,Shift scheduling that keeps riders off the road at the traffic peaks,"pass, to verify",pass,pass,pass,through,3,4,3,3,3,4,4,4,3,2,4,47,61
P5-07,P5,Near-road residents and delivery riders,A22->X15,cut the path,Route choice through lower-traffic roads coded into the dispatch app,"pass, to verify",pass,pass,pass,through,3,4,3,4,3,3,4,4,4,3,4,45,63
P5-08,P5,Near-road residents and delivery riders,A22->X15,cut receptor time or intake,"Filtered-air rest stops (the 12,000 summer rest areas exist for heat, not air, Gulf News 2026)","pass, to verify",pass,"pass, to verify",pass,through,4,4,3,4,3,2,3,4,2,1,3,41,50
P5-09,P5,Near-road residents and delivery riders,A22->X15,change the decision,Exposure-based break entitlement written into rider contracts,fail,fail,"pass, to verify",pass,out,,,,,,,,,,,,,
P5-10,P5,Near-road residents and delivery riders,A22->X15,cut receptor time or intake,Helmet with a filtered visor intake,pass,pass,pass,pass,through,2,3,3,2,3,2,4,4,3,1,3,37,48
P5-11,P5,Near-road residents and delivery riders,A22->X15,cut receptor time or intake,Enclosed three-wheeler or small e-van instead of a motorcycle for long routes,fail,pass,pass,pass,out,,,,,,,,,,,,,
P5-12,P5,Near-road residents and delivery riders,A22->X15,cut the source,"Electric motorcycles for the fleet, cutting the rider's own exhaust and the fleet's",fail,pass,pass,pass,out,,,,,,,,,,,,,
P5-13,P5,Near-road residents and delivery riders,A22->X15,cut receptor time or intake,Rider health screening at onboarding and yearly,"pass, to verify",pass,pass,pass,through,4,4,3,4,2,2,5,4,1,1,5,44,53
P5-14,P5,Near-road residents and delivery riders,A22->X15,change the decision,Personal PM monitors on bikes producing an exposure heat map of the city,pass,pass,pass,pass,through,3,4,3,4,3,3,5,4,4,2,4,47,63
P5-15,P5,Near-road residents and delivery riders,A22->X15,change the decision,"Dispatch algorithm cap on time spent on arterials per shift (the highway ban exists, arterials do not)","pass, to verify",pass,pass,pass,through,3,3,2,4,3,4,4,3,4,3,3,43,60
P5-16,P5,Near-road residents and delivery riders,A22->X15,cut the path,Delivery hubs closer to demand so each order rides fewer kilometres,fail,pass,pass,pass,out,,,,,,,,,,,,,
P5-17,P5,Near-road residents and delivery riders,A25->S18,cut the path,Setback rule for new housing from arterials,fail,fail,"pass, to verify",fail,out,,,,,,,,,,,,,
P5-18,P5,Near-road residents and delivery riders,A25->S18,cut the path,Noise barriers designed to double as air barriers,fail,fail,pass,pass,out,,,,,,,,,,,,,
P5-19,P5,Near-road residents and delivery riders,A25->S18,cut the path,Solid barrier plus vegetation at the worst road-facing compounds,fail,fail,pass,pass,out,,,,,,,,,,,,,
P5-20,P5,Near-road residents and delivery riders,A25->X18,cut the path,Building orientation: bedrooms on the far side from the road in new builds,fail,fail,pass,pass,out,,,,,,,,,,,,,
P5-21,P5,Near-road residents and delivery riders,A25->X18,cut the path,"Non-residential uses (parking, retail) as the roadside buffer",fail,fail,pass,pass,out,,,,,,,,,,,,,
P5-22,P5,Near-road residents and delivery riders,A25->S18,cut the source,"Lower speed limit on the arterial, cutting exhaust and non-exhaust emission",fail,fail,"pass, to verify",fail,out,,,,,,,,,,,,,
P5-23,P5,Near-road residents and delivery riders,A25->S18,cut the source,Signal timing that cuts stop-go queues on the stretch,fail,pass,"pass, to verify",pass,out,,,,,,,,,,,,,
P5-24,P5,Near-road residents and delivery riders,D23->X15,change the decision,Order batching so each trip carries more,"pass, to verify",pass,pass,pass,through,2,4,3,4,4,2,3,4,2,3,5,40,55
P5-25,P5,Near-road residents and delivery riders,D23->X15,change the decision,Peak-hour delivery surcharge that smooths demand,fail,pass,"pass, to verify",pass,out,,,,,,,,,,,,,
P5-26,P5,Near-road residents and delivery riders,D23->X15,cut the path,Pickup lockers that replace door-to-door trips,fail,pass,pass,pass,out,,,,,,,,,,,,,
P5-27,P5,Near-road residents and delivery riders,D25->X18,change the decision,"Zoning: no new schools, nurseries or clinics within 300 m of an arterial",fail,fail,"pass, to verify",fail,out,,,,,,,,,,,,,
P5-28,P5,Near-road residents and delivery riders,D25->X18,cut receptor time or intake,Retrofit filtration in existing near-road labour housing,"pass, to verify",pass,pass,pass,through,5,4,3,4,2,4,5,4,2,1,2,51,59
P5-29,P5,Near-road residents and delivery riders,D25->X18,change the decision,Air-quality disclosure at lease or sale for road-facing units,fail,fail,"pass, to verify",fail,out,,,,,,,,,,,,,
P5-30,P5,Near-road residents and delivery riders,S09->S01,cut the source,SO2 and NOx control at refineries and power plants,fail,fail,"pass, to verify",fail,out,,,,,,,,,,,,,
P5-31,P5,Near-road residents and delivery riders,S17->S01,cut the source,Regional dust cooperation,fail,fail,fail,fail,out,,,,,,,,,,,,,
P5-32,P5,Near-road residents and delivery riders,S01->X01,cut the source,City fleet electrification,fail,fail,"pass, to verify",fail,out,,,,,,,,,,,,,
